channel_handle,snapshot_date,videos_ge_1k,videos_ge_10k,videos_ge_100k,p10_views,p25_views,p50_views,p75_views,p90_views,p95_views,mean_median_ratio,top10pct_view_share,gini,recent_video_count,breakout_1k_rate
@fixedreturnsacademy,2026-06-05,67,8,0,193.0,299.5,605.0,1179.5,2315.0,4970.5,2.59,0.6069,0.6746,15,0.3333
@fixedreturnsacademy,2026-06-06,67,8,0,193.9,300.5,613.0,1182.0,2303.9,4938.7,2.56,0.6062,0.674,16,0.3125
@fixedreturnsacademy,2026-06-07,68,8,0,194.0,302.5,613.5,1191.2,2307.9,4951.0,2.57,0.6061,0.6742,16,0.375
@fixedreturnsacademy,2026-06-08,68,8,0,185.0,303.0,607.0,1196.0,2298.6,4935.6,2.61,0.6066,0.6759,17,0.3529
@fixedreturnsacademy,2026-06-09,68,8,0,185.8,303.0,607.0,1196.0,2299.0,4941.4,2.61,0.6065,0.6755,17,0.3529
@fixedreturnsacademy,2026-06-10,68,8,0,188.1,300.0,607.5,1198.5,2296.1,4919.5,2.61,0.6071,0.6775,17,0.2941
@fixedreturnsacademy,2026-06-11,69,8,0,192.4,302.0,609.0,1204.0,2318.8,4906.3,2.61,0.6069,0.6774,17,0.2941
@fixedreturnsacademy,2026-06-12,69,8,0,192.5,303.0,609.0,1208.8,2347.5,4885.8,2.62,0.6067,0.6778,18,0.2778
@fixedreturnsacademy,2026-06-13,69,8,0,186.6,302.0,612.0,1215.0,2378.6,4861.6,2.61,0.6068,0.6792,18,0.2222
@fixedreturnsacademy,2026-06-14,69,8,0,186.6,303.0,613.0,1219.0,2381.0,4874.0,2.61,0.607,0.6789,17,0.1765
@fixedreturnsacademy,2026-06-15,69,8,0,202.6,305.0,618.0,1229.0,2383.8,4884.4,2.6,0.6067,0.6779,16,0.1875
@fixedreturnsacademy,2026-06-16,69,8,0,188.2,303.5,621.0,1231.0,2379.5,4857.1,2.59,0.6066,0.6789,17,0.1765
@fixedreturnsacademy,2026-06-17,69,8,0,177.0,298.0,621.0,1234.0,2375.6,4832.7,2.59,0.607,0.6807,17,0.1765
@fixedreturnsacademy,2026-06-18,70,8,0,176.8,292.5,620.0,1236.2,2371.5,4810.5,2.59,0.6143,0.6822,17,0.1765
@fixedreturnsacademy,2026-06-19,70,8,0,176.8,293.2,620.5,1237.8,2374.2,4822.5,2.6,0.6146,0.6821,16,0.125
@fixedreturnsacademy,2026-06-20,71,8,0,177.0,291.0,620.0,1241.0,2373.0,4804.0,2.6,0.6147,0.6834,17,0.1176
@fixedreturnsacademy,2026-06-21,71,8,0,180.0,291.0,621.0,1243.0,2381.0,4810.0,2.61,0.6149,0.6833,17,0.1176
@fixedreturnsacademy,2026-06-22,71,8,0,182.0,291.0,622.0,1243.0,2386.0,4821.0,2.62,0.6148,0.683,16,0.125
@fixedreturnsacademy,2026-06-23,71,8,0,177.5,292.5,621.5,1233.2,2373.9,4830.2,2.62,0.6151,0.6845,17,0.1176
@fixedreturnsacademy,2026-06-24,71,8,0,177.4,290.5,623.0,1223.5,2364.4,4834.7,2.61,0.6154,0.686,18,0.1111
@fixedreturnsacademy,2026-06-25,71,8,0,181.8,293.0,623.0,1223.5,2373.6,4843.5,2.63,0.6149,0.6844,18,0.1111
@fixedreturnsacademy,2026-06-26,72,8,0,183.4,293.5,625.0,1251.0,2384.0,4863.4,2.64,0.6135,0.6835,18,0.1667
@fixedreturnsacademy,2026-06-27,73,8,0,186.6,294.2,625.0,1247.0,2384.9,4879.0,2.64,0.6127,0.6843,18,0.1667
@fixedreturnsacademy,2026-06-28,73,8,0,189.0,298.0,626.0,1243.0,2391.0,4894.4,2.64,0.611,0.6834,19,0.1579
@fixedreturnsacademy,2026-06-29,74,8,0,190.4,298.0,635.0,1243.0,2408.6,4920.6,2.61,0.6102,0.6827,18,0.1667
