channel_handle,snapshot_date,channel_id,title,subscribers,total_views,video_count,joined_date
@fixedreturnsacademy,2026-06-30,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2750,372990,226,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-01,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2760,375120,227,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-02,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2770,375497,228,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-03,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2780,378248,228,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-04,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2790,380478,229,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-05,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2800,381975,230,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-06,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2800,383477,230,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-07,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2820,384860,231,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-08,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2820,386899,232,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-09,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2820,388335,233,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-10,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2830,389652,234,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-11,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2830,390507,235,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-12,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2840,392975,236,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-13,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2840,394378,236,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-14,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2850,395671,235,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-15,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2860,396222,236,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-16,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2870,397643,236,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-17,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2880,398827,237,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-18,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2880,400264,239,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-19,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2890,401494,240,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-20,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2900,402913,240,2025-07-29T07:28:11.137035Z
@fixedreturnsacademy,2026-07-21,UCPHv636tYhtARLzoINsGQVw,Fixed Returns Academy by Grip Invest,2910,404152,241,2025-07-29T07:28:11.137035Z
