channel_handle,snapshot_date,tag,frequency,tag_type
@fixedreturnsacademy,2026-05-19,investing for beginners,12,other
@fixedreturnsacademy,2026-05-19,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-19,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-19,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-19,bonds,11,product
@fixedreturnsacademy,2026-05-19,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-19,fixed returns,11,product
@fixedreturnsacademy,2026-05-19,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-19,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-19,bond market explained,10,educational
@fixedreturnsacademy,2026-05-19,bonds explained,10,educational
@fixedreturnsacademy,2026-05-20,ytshort,106,platform
@fixedreturnsacademy,2026-05-20,ytvideo,63,platform
@fixedreturnsacademy,2026-05-20,bondbsc,40,product
@fixedreturnsacademy,2026-05-20,fixed income investing,37,product
@fixedreturnsacademy,2026-05-20,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-20,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-20,corporate bonds,21,product
@fixedreturnsacademy,2026-05-20,bondbyd,19,product
@fixedreturnsacademy,2026-05-20,finenjy,19,brand
@fixedreturnsacademy,2026-05-20,government bonds india,19,product
@fixedreturnsacademy,2026-05-20,bond investing,17,product
@fixedreturnsacademy,2026-05-20,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-20,how bonds work,15,educational
@fixedreturnsacademy,2026-05-20,personal finance india,15,other
@fixedreturnsacademy,2026-05-20,grip invest,14,brand
@fixedreturnsacademy,2026-05-20,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-20,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-20,bond investing india,12,product
@fixedreturnsacademy,2026-05-20,bond market india,12,product
@fixedreturnsacademy,2026-05-20,investing for beginners,12,other
@fixedreturnsacademy,2026-05-20,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-20,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-20,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-20,bonds,11,product
@fixedreturnsacademy,2026-05-20,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-20,fixed returns,11,product
@fixedreturnsacademy,2026-05-20,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-20,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-20,bond market explained,10,educational
@fixedreturnsacademy,2026-05-20,bonds explained,10,educational
@fixedreturnsacademy,2026-05-21,ytshort,106,platform
@fixedreturnsacademy,2026-05-21,ytvideo,63,platform
@fixedreturnsacademy,2026-05-21,bondbsc,40,product
@fixedreturnsacademy,2026-05-21,fixed income investing,37,product
@fixedreturnsacademy,2026-05-21,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-21,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-21,corporate bonds,21,product
@fixedreturnsacademy,2026-05-21,bondbyd,19,product
@fixedreturnsacademy,2026-05-21,finenjy,19,brand
@fixedreturnsacademy,2026-05-21,government bonds india,19,product
@fixedreturnsacademy,2026-05-21,bond investing,17,product
@fixedreturnsacademy,2026-05-21,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-21,how bonds work,15,educational
@fixedreturnsacademy,2026-05-21,personal finance india,15,other
@fixedreturnsacademy,2026-05-21,grip invest,14,brand
@fixedreturnsacademy,2026-05-21,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-21,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-21,bond investing india,12,product
@fixedreturnsacademy,2026-05-21,bond market india,12,product
@fixedreturnsacademy,2026-05-21,investing for beginners,12,other
@fixedreturnsacademy,2026-05-21,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-21,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-21,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-21,bonds,11,product
@fixedreturnsacademy,2026-05-21,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-21,fixed returns,11,product
@fixedreturnsacademy,2026-05-21,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-21,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-21,bond market explained,10,educational
@fixedreturnsacademy,2026-05-21,bonds explained,10,educational
@fixedreturnsacademy,2026-05-22,ytshort,106,platform
@fixedreturnsacademy,2026-05-22,ytvideo,63,platform
@fixedreturnsacademy,2026-05-22,bondbsc,40,product
@fixedreturnsacademy,2026-05-22,fixed income investing,37,product
@fixedreturnsacademy,2026-05-22,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-22,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-22,corporate bonds,21,product
@fixedreturnsacademy,2026-05-22,bondbyd,19,product
@fixedreturnsacademy,2026-05-22,finenjy,19,brand
@fixedreturnsacademy,2026-05-22,government bonds india,19,product
@fixedreturnsacademy,2026-05-22,bond investing,17,product
@fixedreturnsacademy,2026-05-22,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-22,how bonds work,15,educational
@fixedreturnsacademy,2026-05-22,personal finance india,15,other
@fixedreturnsacademy,2026-05-22,grip invest,14,brand
@fixedreturnsacademy,2026-05-22,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-22,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-22,bond investing india,12,product
@fixedreturnsacademy,2026-05-22,bond market india,12,product
@fixedreturnsacademy,2026-05-22,investing for beginners,12,other
@fixedreturnsacademy,2026-05-22,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-22,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-22,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-22,bonds,11,product
@fixedreturnsacademy,2026-05-22,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-22,fixed returns,11,product
@fixedreturnsacademy,2026-05-22,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-22,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-22,bond market explained,10,educational
@fixedreturnsacademy,2026-05-22,bonds explained,10,educational
@fixedreturnsacademy,2026-05-23,ytshort,106,platform
@fixedreturnsacademy,2026-05-23,ytvideo,63,platform
@fixedreturnsacademy,2026-05-23,bondbsc,40,product
@fixedreturnsacademy,2026-05-23,fixed income investing,37,product
@fixedreturnsacademy,2026-05-23,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-23,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-23,corporate bonds,21,product
@fixedreturnsacademy,2026-05-23,bondbyd,19,product
@fixedreturnsacademy,2026-05-23,finenjy,19,brand
@fixedreturnsacademy,2026-05-23,government bonds india,19,product
@fixedreturnsacademy,2026-05-23,bond investing,17,product
@fixedreturnsacademy,2026-05-23,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-23,how bonds work,15,educational
@fixedreturnsacademy,2026-05-23,personal finance india,15,other
@fixedreturnsacademy,2026-05-23,grip invest,14,brand
@fixedreturnsacademy,2026-05-23,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-23,how to invest in bonds,13,educational
@fixedreturnsacademy,2026-05-23,bond investing india,12,product
@fixedreturnsacademy,2026-05-23,bond market india,12,product
@fixedreturnsacademy,2026-05-23,investing for beginners,12,other
@fixedreturnsacademy,2026-05-23,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-23,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-23,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-23,bonds,11,product
@fixedreturnsacademy,2026-05-23,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-23,fixed returns,11,product
@fixedreturnsacademy,2026-05-23,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-23,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-23,bond market explained,10,educational
@fixedreturnsacademy,2026-05-23,bonds explained,10,educational
@fixedreturnsacademy,2026-05-26,ytshort,106,platform
@fixedreturnsacademy,2026-05-26,ytvideo,63,platform
@fixedreturnsacademy,2026-05-26,bondbsc,40,product
@fixedreturnsacademy,2026-05-26,fixed income investing,37,product
@fixedreturnsacademy,2026-05-26,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-26,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-26,corporate bonds,21,product
@fixedreturnsacademy,2026-05-26,bondbyd,19,product
@fixedreturnsacademy,2026-05-26,finenjy,19,brand
@fixedreturnsacademy,2026-05-26,government bonds india,19,product
@fixedreturnsacademy,2026-05-26,bond investing,17,product
@fixedreturnsacademy,2026-05-26,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-26,how bonds work,15,educational
@fixedreturnsacademy,2026-05-26,personal finance india,15,other
@fixedreturnsacademy,2026-05-26,grip invest,14,brand
@fixedreturnsacademy,2026-05-26,how to invest in bonds,14,educational
@fixedreturnsacademy,2026-05-26,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-26,bond investing india,12,product
@fixedreturnsacademy,2026-05-26,bond market india,12,product
@fixedreturnsacademy,2026-05-26,investing for beginners,12,other
@fixedreturnsacademy,2026-05-26,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-26,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-26,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-26,bonds,11,product
@fixedreturnsacademy,2026-05-26,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-26,fixed returns,11,product
@fixedreturnsacademy,2026-05-26,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-26,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-26,bond market explained,10,educational
@fixedreturnsacademy,2026-05-26,bonds explained,10,educational
@fixedreturnsacademy,2026-05-27,ytshort,106,platform
@fixedreturnsacademy,2026-05-27,ytvideo,63,platform
@fixedreturnsacademy,2026-05-27,bondbsc,40,product
@fixedreturnsacademy,2026-05-27,fixed income investing,37,product
@fixedreturnsacademy,2026-05-27,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-27,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-27,corporate bonds,21,product
@fixedreturnsacademy,2026-05-27,bondbyd,19,product
@fixedreturnsacademy,2026-05-27,finenjy,19,brand
@fixedreturnsacademy,2026-05-27,government bonds india,19,product
@fixedreturnsacademy,2026-05-27,bond investing,17,product
@fixedreturnsacademy,2026-05-27,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-27,how bonds work,15,educational
@fixedreturnsacademy,2026-05-27,personal finance india,15,other
@fixedreturnsacademy,2026-05-27,grip invest,14,brand
@fixedreturnsacademy,2026-05-27,how to invest in bonds,14,educational
@fixedreturnsacademy,2026-05-27,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-27,bond investing india,12,product
@fixedreturnsacademy,2026-05-27,bond market india,12,product
@fixedreturnsacademy,2026-05-27,investing for beginners,12,other
@fixedreturnsacademy,2026-05-27,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-27,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-27,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-27,bonds,11,product
@fixedreturnsacademy,2026-05-27,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-27,fixed returns,11,product
@fixedreturnsacademy,2026-05-27,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-27,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-27,bond market explained,10,educational
@fixedreturnsacademy,2026-05-27,bonds explained,10,educational
@fixedreturnsacademy,2026-05-28,ytshort,106,platform
@fixedreturnsacademy,2026-05-28,ytvideo,63,platform
@fixedreturnsacademy,2026-05-28,bondbsc,40,product
@fixedreturnsacademy,2026-05-28,fixed income investing,37,product
@fixedreturnsacademy,2026-05-28,corporate bonds india,30,product
@fixedreturnsacademy,2026-05-28,fixed returns academy,24,brand
@fixedreturnsacademy,2026-05-28,corporate bonds,21,product
@fixedreturnsacademy,2026-05-28,bondbyd,19,product
@fixedreturnsacademy,2026-05-28,finenjy,19,brand
@fixedreturnsacademy,2026-05-28,government bonds india,19,product
@fixedreturnsacademy,2026-05-28,bond investing,17,product
@fixedreturnsacademy,2026-05-28,fixed return investments india,15,product
@fixedreturnsacademy,2026-05-28,how bonds work,15,educational
@fixedreturnsacademy,2026-05-28,personal finance india,15,other
@fixedreturnsacademy,2026-05-28,grip invest,14,brand
@fixedreturnsacademy,2026-05-28,how to invest in bonds,14,educational
@fixedreturnsacademy,2026-05-28,grip invest bonds,13,brand
@fixedreturnsacademy,2026-05-28,bond investing india,12,product
@fixedreturnsacademy,2026-05-28,bond market india,12,product
@fixedreturnsacademy,2026-05-28,investing for beginners,12,other
@fixedreturnsacademy,2026-05-28,portfolio diversification,12,other
@fixedreturnsacademy,2026-05-28,safe investment options,12,aspirational
@fixedreturnsacademy,2026-05-28,bond investing for beginners,11,product
@fixedreturnsacademy,2026-05-28,bonds,11,product
@fixedreturnsacademy,2026-05-28,debt mutual funds,11,product
@fixedreturnsacademy,2026-05-28,fixed returns,11,product
@fixedreturnsacademy,2026-05-28,how to fill form 121,11,educational
@fixedreturnsacademy,2026-05-28,safe investments india,11,aspirational
@fixedreturnsacademy,2026-05-28,bond market explained,10,educational
@fixedreturnsacademy,2026-05-28,bonds explained,10,educational
