context_locale,ip_address,context_page_referring_domain,id,context_app_namespace,context_library_name,context_app_version,total_returns,context_destination_id,event,anonymous_id,timezone,browser,context_source_type,context_screen_inner_width,user_id,network_type,os,region,isp,event_text,context_session_id,fd_name,investment_amount,context_screen_inner_height,context_screen_width,context_destination_type,context_library_version,context_user_agent,eligible_for_women,context_page_initial_referring_domain,fd_type,original_timestamp,sent_at,device_orientation,city,timestamp,uuid_ts,context_page_url,context_app_name,context_timezone,context_source_id,tenure,device_type,context_ip,country,context_page_path,context_page_initial_referrer,received_at,total_interest,context_request_ip,eligible_for_sr_citizen,context_page_referrer,context_screen_density,channel,context_page_tab_url,context_page_title,context_screen_height,name,term,context_session_start,referrer,source,adgroup,fbclid,campaign,adset,medium,placement,device,utm_search,content,gclid,creative,context_page_search,context_campaign_name,context_campaign_source,context_campaign_medium,exp_version,application,gc_name,external_user_id,gc_id,path,product_sub_category,rfq_enabled,extra_return_eligible,financial_product_type,url,product_category,cta_text,kyc_status,amo,irr,obpp_kyc_status,ucc_status,quantities_selected,fd_kyc_status,context_app_install_type,asset_logo,asset_description,mf_investment_type,mf_kyc_status,asset_id,infinite,clicked_with_infinite,infinite_schema_version,infinite_extra_returns,version,country_code,context_campaign_referrer,invested_investor,venue,context_campaign_content,referrer_page,page,experiment_variant,experiment_name,experiment_treatment_percentage,experiment_bucket,investment_source,experiment_skip_asset_details_page_bucket,experience_type,experiment_skip_checkout_experiment_bucket,page_source,asset_category,experiment_skip_checkout_experiment_variant,experiment_skip_asset_details_page_variant,cohort_type,context_traits_obpp_kyc_status,context_traits_gc_id,context_traits_investment_status,investment_status,context_traits_external_user_id,context_traits_gc_name
en-GB,ip_8c23de2124,,5ddea9a5-504b-4883-bc12-a337abd40eff,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,04fc517b-48cd-48b4-91ae-0507a008c504,Asia/Kolkata,Chrome,Javascript,411,1524354,4g,Android,Bihar,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778177960999.0,,1056,514,412,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 12; SM-M215F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/148.0.7778.120 Mobile Safari/537.36",,,,2026-05-07T23:52:21.168+05:30,2026-05-07T23:52:21.171+05:30,Portrait,Patna,2026-05-07T23:52:21.605+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560?from=qc,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,5,Phone,ip_8c23de2124,India,/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560,$direct,2026-05-07T23:52:21.608+05:30,,ip_8c23de2124,,$direct,2,web,https://www.gripinvest.in/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560?from=qc,Grow your wealth,892,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=taxfree&sort=minInv_asc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_IU,Not received,Not received,Not received,?from=qc,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560?from=qc,Corporate Bonds,,True,True,8.5,True,False,1.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2560/website/logo/sammaan_cap.png,SAMMAAN CAPITAL LIMITED,,,2560,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets/bonds,/assetdetails/sammaan-capital-limited/ncd/rcbsc260401/2560,,,,,asset_detail_page,66.0,quick_checkout,,asset_type_list,bond,not_eligible,treatment,unknown,True,,True,True,,
en-IN,ip_8ea5c5e808,,f068d5e2-8b30-4925-b7b4-02d15f1ab3ad,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,ff427443-d7d3-437f-9cc0-67c230a6718a,Asia/Kolkata,Chrome,Javascript,338,1790126,4g,Android,Karnataka,"Bharti Airtel Ltd., Telemedia Services",Invest Now Button Clicked,1778178020857.0,,296795,685,339,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-M336BU Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T23:53:25.713+05:30,2026-05-07T23:53:25.715+05:30,Portrait,Bengaluru,2026-05-07T23:53:25.781+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,11,Phone,ip_8ea5c5e808,India,/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,$direct,2026-05-07T23:53:25.783+05:30,,ip_8ea5c5e808,,$direct,3,web,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,Grow your wealth,756,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_FTI,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,Corporate Bonds,,True,True,11.45,True,False,3.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2594/website/logo/progfin_copy.png,Progfin Private Ltd,,,2594,eligible,False,1.0,3.45,IPv4,IN,,False,GRIP,,/assets/bonds,/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,,,,,asset_detail_page,96.0,asset_detail_page,,asset_type_list,bond,not_eligible,treatment,unknown,True,,False,False,,
en-IN,ip_0896b52f73,,3da11722-2142-4d09-81fd-880740ff3401,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,80685a20-4c1e-49c8-80e9-b9de159cb092,Asia/Kolkata,Chrome,Javascript,384,1611214,4g,Android,West Bengal,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778176784490.0,,100327,784,384,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 14; SM-A235F Build/UP1A.231005.007; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.137 Mobile Safari/537.36",,www.gripinvest.in,,2026-05-07T23:54:11.572+05:30,2026-05-07T23:54:11.576+05:30,Portrait,Kolkata,2026-05-07T23:54:11.859+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260401/2604,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,23,Phone,ip_e12528c248,India,/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260401/2604,https://www.gripinvest.in/discover?uid=1611214,2026-05-07T23:54:11.863+05:30,,ip_e12528c248,,$direct,2,web,https://www.gripinvest.in/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260401/2604,Grow your wealth,857,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260401/2604,Corporate Bonds,,True,True,14.0,True,False,10.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2455/website/logo/unifinz_capital_1.png,UNIFINZ CAPITAL INDIA LIMITED,,,2604,eligible,False,1.0,9.46,IPv4,IN,,False,GRIP,,/assets/bonds,/assetdetails/unifinz-capital-india-limited/ncd/rcbuf260401/2604,,,,,asset_detail_page,94.0,asset_detail_page,,asset_type_list,bond,not_eligible,treatment,unknown,True,,False,False,,
en-GB,ip_a4973cf417,,83f52945-ea4d-486e-a611-8987b277c144,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,61099.0,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,792bcb24-15a5-49ca-82cf-e3ecca95716c,Asia/Kolkata,Chrome,Javascript,360,1755274,4g,Android,Madhya Pradesh,Vodafone Idea Ltd,Invest Now Button Clicked,1778178262769.0,SSFB,50000,716,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 15; CPH2751 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",False,,bank,2026-05-07T23:55:36.917+05:30,2026-05-07T23:55:36.92+05:30,Portrait,Bhopal,2026-05-07T23:55:37.349+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,7,Phone,ip_3d055294a5,India,/assetdetails/suryoday/bank/fdsry240901/1239,$direct,2026-05-07T23:55:37.352+05:30,,ip_3d055294a5,False,$direct,2,web,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,Grow your wealth,802,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_IU,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets,Banks,False,"[""seniorCitizen""]",High Yield FDs,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,High Yield FDs,Invest Now,True,,11.0,True,,,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1239/website/logo/suryoday_deallogos.png,Suryoday,,,1239,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets,/assetdetails/suryoday/bank/fdsry240901/1239,,,,,,,,,,,,,,True,,True,True,,
en-IN,ip_f43d3614b9,,12a6a0b1-7ed3-48e7-9b7f-a306d635f45a,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,0ac053c3-5154-4348-9ed5-a3fbadfe555b,Asia/Kolkata,Chrome,Javascript,384,1781159,4g,Android,Rajasthan,Atria Convergence Technologies Ltd.,Invest Now Button Clicked,1778178044345.0,,108254,699,384,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-S711B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T23:55:46.704+05:30,2026-05-07T23:55:46.707+05:30,Portrait,Jaipur,2026-05-07T23:55:50.876+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=5,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,21,Phone,ip_f43d3614b9,India,/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327,$direct,2026-05-07T23:55:50.879+05:30,,ip_f43d3614b9,,$direct,2,web,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=5,Grow your wealth,832,Not received,Not received,,Not received,Tata Digital Private Ltd,Not received,Not received,gc,Not received,connect,Not received,Not received,?partner_id=TAT00021GC&utm_source=Tata+Digital+Private+Ltd&utm_medium=connect&utm_campaign=gc,Not received,Not received,Not received,?units=5,,,,,Website,Tata Digital Private Ltd,4ea6095b-239c-48af-8c85-5331d0be620c,21.0,,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327?units=5,Corporate Bonds,,True,True,11.0,True,False,11.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2327/website/logo/muthoot_mcred.png,Muthoottu Mini,,,2327,eligible,False,1.0,22.94,IPv4,IN,,False,Tata Digital Private Ltd,,direct,/assetdetails/Muthoottu%20Mini/ncd/RCBMM251202/2327,,,,,asset_detail_page,,,,,,gc_excluded,,,True,21.0,False,False,4ea6095b-239c-48af-8c85-5331d0be620c,Tata Digital Private Ltd
en-GB,ip_a4973cf417,gripinvest.fixerra.in,4300fb37-e604-4c24-889a-4e039448fdd1,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,60122.0,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,792bcb24-15a5-49ca-82cf-e3ecca95716c,Asia/Kolkata,Chrome,Javascript,360,1755274,4g,Android,Madhya Pradesh,Vodafone Idea Ltd,Invest Now Button Clicked,1778178262769.0,SSFB,49200,716,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 15; CPH2751 Build/AP3A.240617.008; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",False,,bank,2026-05-07T23:57:12.172+05:30,2026-05-07T23:57:12.175+05:30,Portrait,Bhopal,2026-05-07T23:57:12.599+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,7,Phone,ip_a4973cf417,India,/assetdetails/suryoday/bank/fdsry240901/1239,$direct,2026-05-07T23:57:12.602+05:30,,ip_a4973cf417,False,https://gripinvest.fixerra.in/,2,web,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,Grow your wealth,802,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_IU,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets,Banks,False,"[""seniorCitizen""]",High Yield FDs,https://www.gripinvest.in/assetdetails/suryoday/bank/fdsry240901/1239,High Yield FDs,Invest Now,True,,11.0,True,False,,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1239/website/logo/suryoday_deallogos.png,Suryoday,,,1239,not eligible,False,1.0,,IPv4,IN,,True,GRIP,,/assets,/assetdetails/suryoday/bank/fdsry240901/1239,,,,,,,,,,,,,,True,,True,True,,
en-IN,ip_f43d3614b9,,dfac2520-5099-4dcb-ba83-ad426aebad9f,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,0ac053c3-5154-4348-9ed5-a3fbadfe555b,Asia/Kolkata,Chrome,Javascript,384,1781159,4g,Android,Rajasthan,Atria Convergence Technologies Ltd.,Invest Now Button Clicked,1778178044345.0,,99012,699,384,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-S711B Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T23:57:27.288+05:30,2026-05-07T23:57:27.29+05:30,Portrait,Jaipur,2026-05-07T23:57:30.896+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/IIFL%20SAMASTA%20FINANCE%20LIMITED/ncd/RCBIIFLS260201/2369?units=5,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,21,Phone,ip_f43d3614b9,India,/assetdetails/IIFL%20SAMASTA%20FINANCE%20LIMITED/ncd/RCBIIFLS260201/2369,$direct,2026-05-07T23:57:30.898+05:30,,ip_f43d3614b9,,$direct,2,web,https://www.gripinvest.in/assetdetails/IIFL%20SAMASTA%20FINANCE%20LIMITED/ncd/RCBIIFLS260201/2369?units=5,Grow your wealth,832,Not received,Not received,,Not received,Tata Digital Private Ltd,Not received,Not received,gc,Not received,connect,Not received,Not received,?partner_id=TAT00021GC&utm_source=Tata+Digital+Private+Ltd&utm_medium=connect&utm_campaign=gc,Not received,Not received,Not received,?units=5,,,,,Website,Tata Digital Private Ltd,4ea6095b-239c-48af-8c85-5331d0be620c,21.0,,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/IIFL%20SAMASTA%20FINANCE%20LIMITED/ncd/RCBIIFLS260201/2369?units=5,Corporate Bonds,,True,True,10.25,True,False,10.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1501/website/logo/iiflsamastalogo.png,IIFL SAMASTA FINANCE LIMITED,,,2369,eligible,False,1.0,7.41,IPv4,IN,,False,Tata Digital Private Ltd,,direct,/assetdetails/IIFL%20SAMASTA%20FINANCE%20LIMITED/ncd/RCBIIFLS260201/2369,,,,,asset_detail_page,,,,,,gc_excluded,,,True,21.0,False,False,4ea6095b-239c-48af-8c85-5331d0be620c,Tata Digital Private Ltd
en-IN,ip_97ee3d9538,,573682ab-9698-4dd5-87af-b6fb8d76b63f,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,773a7fd1-0755-446d-a25d-0d729dab43d7,Asia/Kolkata,Chrome,Javascript,375,519214,4g,Android,Maharashtra,Bharti Airtel Ltd. AS for GPRS Service,Invest Now Button Clicked,1778178309890.0,,400423,747,376,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; 2412DPC0AI Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-07T23:59:10.67+05:30,2026-05-07T23:59:10.673+05:30,Portrait,Pune,2026-05-07T23:59:11.44+05:30,2026-05-08T00:00:25.626+05:30,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,2,Phone,ip_97ee3d9538,India,/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,$direct,2026-05-07T23:59:11.443+05:30,,ip_97ee3d9538,,$direct,3,web,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,Grow your wealth,835,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,,Not received,Not received,Not received,,,,,,Mobile App,,,,/assets/bonds,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,Corporate Bonds,,True,True,9.0,True,False,370.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/1601/website/logo/nido_homeslogo.png,NIDO HOME FINANCE LIMITED,,,2497,not eligible,False,1.0,,IPv4,IN,,False,GRIP,,/assets/bonds,/assetdetails/nido-home-finance-limited/ncd/rcbnh260301/2497,,,,,asset_detail_page,36.0,asset_detail_page,,asset_type_list,bond,not_eligible,treatment,unknown,True,,False,False,,
en-IN,ip_8ea5c5e808,api.cashfree.com,37f8e6b1-ecc3-4342-9d6a-14f99433b60b,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,ff427443-d7d3-437f-9cc0-67c230a6718a,Asia/Kolkata,Chrome,Javascript,338,1790126,4g,Android,Karnataka,"Bharti Airtel Ltd., Telemedia Services",Invest Now Button Clicked,1778178020857.0,,296795,685,339,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; SM-M336BU Build/BP2A.250605.031.A3; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-08T00:01:15.258+05:30,2026-05-08T00:01:15.259+05:30,Portrait,Bengaluru,2026-05-08T00:01:15.316+05:30,2026-05-08T00:30:06.662+05:30,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,11,Phone,ip_8ea5c5e808,India,/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,$direct,2026-05-08T00:01:15.317+05:30,,ip_8ea5c5e808,,https://api.cashfree.com/,3,web,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,Grow your wealth,756,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_FTI,Not received,Not received,Not received,,,,,,Mobile App,,,,/discover,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,Corporate Bonds,,True,True,11.45,True,,3.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2594/website/logo/progfin_copy.png,Progfin Private Ltd,,,2594,eligible,False,1.0,3.45,IPv4,IN,,False,GRIP,,/discover,/assetdetails/progfin-private-ltd/ncd/rcbpf260401/2594,,,,,asset_detail_page,96.0,asset_detail_page,,discover,bond,not_eligible,treatment,fti,True,,False,False,,
en-GB,ip_b53e75f2d9,,83f4ea89-5fd3-4ba3-86a1-68a4b5f7cfaf,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,287b268f-79e8-48da-948a-a608ee387d8b,Asia/Kolkata,Chrome,Javascript,360,1821391,4g,Android,Gujarat,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778177880962.0,,98579,719,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; RMX3998 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-08T00:01:24.068+05:30,2026-05-08T00:01:24.071+05:30,Portrait,Ahmedabad,2026-05-08T00:01:29.065+05:30,2026-05-08T00:30:06.662+05:30,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,32,Phone,ip_b53e75f2d9,India,/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,$direct,2026-05-08T00:01:29.068+05:30,,ip_b53e75f2d9,,$direct,3,web,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,Grow your wealth,800,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_IU,Not received,Not received,Not received,,,,,,Mobile App,,,,/discover,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,Corporate Bonds,,True,True,12.8,True,,10.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2573/website/logo/akme_fintradedeallogo.png,Akme Fintrade Ltd.,,,2573,eligible,False,1.0,31.53,IPv4,IN,,True,GRIP,,/discover,/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,,,,,asset_detail_page,,,,,,not_eligible,,,True,,True,True,,
en-GB,ip_b53e75f2d9,,0f9a65af-dd0f-4e76-a147-fe94367d1a37,com.rudderlabs.javascript,RudderLabs JavaScript SDK,3.11.17,,1zPDwwVTM2IViEcrnPu1ijq5MB9,invest_now_button_clicked,287b268f-79e8-48da-948a-a608ee387d8b,Asia/Kolkata,Chrome,Javascript,360,1821391,4g,Android,Gujarat,Reliance Jio Infocomm Limited,Invest Now Button Clicked,1778177880962.0,,98579,719,360,POSTGRES,3.11.17,"Mozilla/5.0 (Linux; Android 16; RMX3998 Build/BP2A.250605.015; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/147.0.7727.111 Mobile Safari/537.36",,,,2026-05-08T00:01:26.881+05:30,2026-05-08T00:01:26.883+05:30,Portrait,Ahmedabad,2026-05-08T00:01:29.071+05:30,2026-05-08T00:30:06.662+05:30,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,RudderLabs JavaScript SDK,GMT+0530,1zPBioi9zJvy4kIey0DcD3upWe6,32,Phone,ip_b53e75f2d9,India,/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,$direct,2026-05-08T00:01:29.073+05:30,,ip_b53e75f2d9,,$direct,3,web,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,Grow your wealth,800,Not received,Not received,,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,Not received,?filter=0.25%25extra&sort=ytm_desc&utm_source=app&utm_medium=marketing&utm_campaign=PApp_07052026_E_Followup_Deal_Bond_Bundle_IU,Not received,Not received,Not received,,,,,,Mobile App,,,,/discover,Corporate Bonds,True,,Bonds,https://www.gripinvest.in/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,Corporate Bonds,,True,True,12.8,True,,10.0,True,npm,https://s3.ap-south-1.amazonaws.com/docs.gripinvest.in/production/asset/2573/website/logo/akme_fintradedeallogo.png,Akme Fintrade Ltd.,,,2573,eligible,False,1.0,31.53,IPv4,IN,,True,GRIP,,/discover,/assetdetails/akme-fintrade-ltd./ncd/rcbak260401/2573,,,,,asset_detail_page,,,,,,not_eligible,,,True,,True,True,,
