partner,week,no_of_total_reg,email_verified_users,mobile_verified_users,both_email_mobile_verified,no_of_full_reg,landed_on_pan,%landed on PAN/full_reg,kyc_initiated_pan,%_kyc_initiated,%kyc initiated old,kra_digilocker_adhaarxml,%kra_digilocker_adhaarxml/pan,bank,%bank/kra_digilocker_adhaarxml,other_details,%other_details/bank,nominee,%nominee/other_details,liveliness,%liveliness/nominee,signature,%signature/liveliness,aof,%aof/signature,demat,%demat/aof,ucc,%ucc/demat,b_mf_kyc_completed_users,%mf_kyc/kyc_initiation,%ucc/kyc_initiation,%b_mf_kyc_completion/full_signup,fti_on_any_day,%_fti_on_any_day/ucc,any_day_repeat,%any_day_repeat,same_week_reg_kyc,same_week_reg_ucc,% same_week_reg_ucc/full_signup,same_week_pan_ucc,%same_week_pan_ucc/pan,same_week_reg_fti,same_week_fti/ucc,referees_registered,%referees_registered/invested_referrers,referees_invested,%referees_invested/invested_referrers
ET money,2026-03-02,1998,1998,1998,1998,1998,259,0.12962962962962962,164,0.6332046332046332,0.08208208208208208,156,0.9512195121951219,130,0.8333333333333334,126,0.9692307692307692,120,0.9523809523809523,99,0.825,96,0.9696969696969697,78,0.8125,60,0.7692307692307693,59,0.9833333333333333,38,0.22560975609756098,0.3597560975609756,0.01901901901901902,34,0.576271186440678,14,0.4117647058823529,53,39,0.01951951951951952,50,0.3048780487804878,21,0.3559322033898305,0,0.0,0,0.0
ET money,2026-02-23,3517,3517,3517,3517,3517,283,0.08046630651123117,170,0.6007067137809188,0.048336650554449814,159,0.9352941176470588,139,0.8742138364779874,136,0.9784172661870504,132,0.9705882352941176,96,0.7272727272727273,94,0.9791666666666666,76,0.8085106382978723,54,0.7105263157894737,55,1.0185185185185186,42,0.2411764705882353,0.3235294117647059,0.01194199601933466,28,0.509090909090909,10,0.35714285714285715,45,31,0.008814330395223202,49,0.28823529411764703,8,0.14545454545454545,0,0.0,0,0.0
ET money,2026-02-16,2044,2044,2044,2044,2044,269,0.13160469667318983,162,0.6022304832713755,0.07925636007827788,149,0.9197530864197531,133,0.8926174496644296,132,0.9924812030075187,127,0.9621212121212122,106,0.8346456692913385,99,0.9339622641509434,83,0.8383838383838383,65,0.7831325301204819,66,1.0153846153846153,52,0.3148148148148148,0.4074074074074074,0.025440313111545987,34,0.5151515151515151,15,0.4411764705882353,44,39,0.01908023483365949,58,0.35802469135802467,13,0.19696969696969696,3,0.09090909090909091,3,0.09090909090909091
ET money,2026-02-09,4421,4421,4421,4421,4421,348,0.07871522280027143,206,0.5919540229885057,0.046595792807057224,180,0.8737864077669902,159,0.8833333333333333,151,0.949685534591195,147,0.9735099337748344,121,0.8231292517006803,112,0.9256198347107438,96,0.8571428571428571,69,0.71875,69,1.0,52,0.24757281553398058,0.33495145631067963,0.011762044786247455,33,0.4782608695652174,12,0.36363636363636365,58,39,0.008821533589685591,63,0.3058252427184466,14,0.2028985507246377,0,0.0,0,0.0
ET money,2026-02-02,2853,2853,2853,2853,2853,314,0.11005958640028041,189,0.6019108280254777,0.06624605678233439,178,0.9417989417989417,154,0.8651685393258427,150,0.974025974025974,144,0.96,110,0.7638888888888888,107,0.9727272727272728,89,0.8317757009345794,70,0.7865168539325843,71,1.0142857142857142,51,0.25925925925925924,0.37566137566137564,0.017875920084121977,34,0.4788732394366197,17,0.5,48,38,0.01331931300385559,60,0.31746031746031744,9,0.1267605633802817,3,0.09090909090909091,2,0.06060606060606061
ET money,2026-01-26,2666,2666,2666,2666,2666,302,0.11327831957989497,179,0.5927152317880795,0.0671417854463616,164,0.9162011173184358,135,0.823170731707317,125,0.9259259259259259,123,0.984,98,0.7967479674796748,93,0.9489795918367347,74,0.7956989247311828,66,0.8918918918918919,67,1.0151515151515151,40,0.21787709497206703,0.3743016759776536,0.015003750937734433,41,0.6119402985074627,17,0.4146341463414634,39,34,0.012753188297074268,55,0.30726256983240224,11,0.16417910447761194,1,0.025,0,0.0
ET money,2026-01-19,3041,3041,3041,3041,3041,300,0.09865175928970733,178,0.5933333333333334,0.058533377178559685,162,0.9101123595505618,135,0.8333333333333334,128,0.9481481481481482,125,0.9765625,99,0.792,96,0.9696969696969697,89,0.9270833333333334,73,0.8202247191011236,74,1.0136986301369864,45,0.24719101123595505,0.4157303370786517,0.0147977638934561,36,0.4864864864864865,15,0.4166666666666667,42,35,0.011509371917132522,60,0.33707865168539325,15,0.20270270270270271,1,0.02857142857142857,1,0.02857142857142857
ET money,2026-01-12,2749,2749,2749,2749,2749,346,0.12586395052746452,194,0.5606936416184971,0.07057111676973445,177,0.9123711340206185,135,0.7627118644067796,133,0.9851851851851852,128,0.9624060150375939,98,0.765625,95,0.9693877551020408,79,0.8315789473684211,60,0.759493670886076,60,1.0,51,0.25773195876288657,0.30927835051546393,0.018552200800291015,33,0.55,18,0.5454545454545454,33,24,0.008730447435431065,46,0.23711340206185566,8,0.13333333333333333,3,0.09375,2,0.0625
ET money,2026-01-05,5358,5358,5358,5358,5358,527,0.09835759611795446,313,0.5939278937381404,0.05841731989548339,297,0.9488817891373802,212,0.7138047138047138,206,0.9716981132075472,199,0.9660194174757282,170,0.8542713567839196,166,0.9764705882352941,124,0.7469879518072289,115,0.9274193548387096,114,0.991304347826087,64,0.2012779552715655,0.36421725239616615,0.011944755505785741,53,0.4649122807017544,24,0.4528301886792453,55,57,0.010638297872340425,100,0.3194888178913738,15,0.13157894736842105,4,0.07692307692307693,3,0.057692307692307696
ET money,2025-12-29,7821,7821,7821,7821,7821,561,0.07172995780590717,357,0.6363636363636364,0.04564633678557729,339,0.9495798319327731,240,0.7079646017699115,237,0.9875,233,0.9831223628691983,196,0.8412017167381974,188,0.9591836734693877,150,0.7978723404255319,137,0.9133333333333333,135,0.9854014598540146,95,0.26330532212885155,0.37815126050420167,0.012146784298683032,70,0.5185185185185185,35,0.5,61,61,0.007799514128628053,115,0.32212885154061627,25,0.18518518518518517,1,0.014492753623188406,0,0.0
ET money,2025-12-22,5419,5419,5419,5419,5419,518,0.09558959217567817,345,0.666023166023166,0.06366488281970843,329,0.9536231884057971,244,0.7416413373860182,239,0.9795081967213115,238,0.99581589958159,191,0.8025210084033614,186,0.9738219895287958,137,0.7365591397849462,123,0.8978102189781022,122,0.991869918699187,91,0.2608695652173913,0.3536231884057971,0.016792766193024545,72,0.5901639344262295,27,0.375,56,55,0.010149474072707141,106,0.3072463768115942,20,0.16393442622950818,0,0.0,0,0.0
ET money,2025-12-15,7595,7595,7595,7595,7595,499,0.06570111915734035,327,0.655310621242485,0.04305464121132324,314,0.9602446483180428,218,0.6942675159235668,210,0.963302752293578,206,0.9809523809523809,171,0.8300970873786407,161,0.9415204678362573,125,0.7763975155279503,117,0.936,116,0.9914529914529915,90,0.27217125382262997,0.3547400611620795,0.01184990125082291,62,0.5344827586206896,29,0.46774193548387094,50,50,0.0065832784726793945,96,0.29357798165137616,18,0.15517241379310345,2,0.03278688524590164,2,0.03278688524590164
ET money,2025-12-08,11178,11178,11178,11178,11178,575,0.051440329218107,383,0.6660869565217391,0.03426373233136518,377,0.9843342036553525,273,0.7241379310344828,264,0.967032967032967,258,0.9772727272727273,211,0.8178294573643411,201,0.95260663507109,147,0.7313432835820896,129,0.8775510204081632,126,0.9767441860465116,102,0.26370757180156656,0.3289817232375979,0.00912506709608159,74,0.5873015873015873,28,0.3783783783783784,43,40,0.003578457684737878,105,0.2741514360313316,13,0.10317460317460317,1,0.0136986301369863,0,0.0
ET money,2025-12-01,10784,10784,10784,10784,10784,744,0.06899109792284866,483,0.6491935483870968,0.04478857566765579,456,0.9440993788819876,338,0.7412280701754386,328,0.9704142011834319,316,0.9634146341463414,260,0.8227848101265823,247,0.95,183,0.7408906882591093,170,0.9289617486338798,168,0.9882352941176471,119,0.2443064182194617,0.34782608695652173,0.01103486646884273,96,0.5714285714285714,34,0.3541666666666667,63,61,0.005656528189910979,141,0.2919254658385093,29,0.17261904761904762,2,0.021052631578947368,0,0.0
ET money,2025-11-24,6899,6899,6899,6899,6899,626,0.09073778808522974,400,0.6389776357827476,0.05797941730685607,372,0.93,301,0.8091397849462365,277,0.920265780730897,266,0.9602888086642599,217,0.8157894736842105,209,0.9631336405529954,168,0.8038277511961722,154,0.9166666666666666,153,0.9935064935064936,131,0.325,0.3825,0.01898825916799536,82,0.5359477124183006,43,0.524390243902439,40,42,0.006087838817219887,132,0.33,17,0.1111111111111111,3,0.037037037037037035,2,0.024691358024691357
ET money,2025-11-17,10986,10986,10986,10986,10985,1169,0.10641784251251707,774,0.6621043627031651,0.0704597177969959,735,0.9496124031007752,602,0.819047619047619,515,0.8554817275747508,464,0.9009708737864077,372,0.8017241379310345,356,0.956989247311828,280,0.7865168539325843,253,0.9035714285714286,247,0.9762845849802372,226,0.29069767441860467,0.31912144702842377,0.020573509330905782,133,0.5384615384615384,66,0.49624060150375937,82,81,0.007373691397360036,198,0.2558139534883721,21,0.08502024291497975,4,0.030303030303030304,2,0.015151515151515152
ET money,2025-11-10,7495,7495,7495,7495,7495,906,0.1208805870580387,584,0.6445916114790287,0.07791861240827218,552,0.9452054794520548,468,0.8478260869565217,392,0.8376068376068376,365,0.9311224489795918,299,0.8191780821917808,292,0.9765886287625418,214,0.7328767123287672,199,0.9299065420560748,197,0.9899497487437185,188,0.3184931506849315,0.3373287671232877,0.025083388925950634,106,0.5380710659898477,61,0.5754716981132075,46,50,0.0066711140760507,154,0.2636986301369863,16,0.08121827411167512,2,0.01904761904761905,2,0.01904761904761905
ET money,2025-11-03,22440,22440,22440,22440,22440,1377,0.06136363636363636,865,0.6281771968046478,0.03854723707664884,808,0.9341040462427745,659,0.8155940594059405,569,0.8634294385432474,519,0.9121265377855887,439,0.8458574181117534,418,0.9521640091116174,319,0.7631578947368421,295,0.9247648902821317,292,0.9898305084745763,290,0.33410404624277457,0.3375722543352601,0.012923351158645277,163,0.5582191780821918,79,0.48466257668711654,67,71,0.0031639928698752227,228,0.2635838150289017,16,0.0547945205479452,7,0.043209876543209874,4,0.024691358024691357
ET money,2025-10-27,3422,3422,3422,3422,3422,559,0.16335476329631796,374,0.669051878354204,0.10929281122150789,343,0.9171122994652406,289,0.8425655976676385,246,0.8512110726643599,230,0.9349593495934959,190,0.8260869565217391,182,0.9578947368421052,150,0.8241758241758241,142,0.9466666666666667,143,1.0070422535211268,132,0.3502673796791444,0.38235294117647056,0.0385739333722969,78,0.5454545454545454,30,0.38461538461538464,43,43,0.012565751022793687,103,0.27540106951871657,18,0.1258741258741259,3,0.03896103896103896,2,0.025974025974025976
ET money,2025-10-20,2792,2792,2792,2792,2792,451,0.1615329512893983,311,0.6895787139689579,0.11138968481375358,281,0.9035369774919614,249,0.8861209964412812,211,0.8473895582329317,196,0.9289099526066351,163,0.8316326530612245,157,0.9631901840490797,128,0.8152866242038217,115,0.8984375,113,0.9826086956521739,123,0.39228295819935693,0.3633440514469453,0.04405444126074499,66,0.584070796460177,32,0.48484848484848486,37,37,0.01325214899713467,85,0.2733118971061093,15,0.13274336283185842,2,0.03076923076923077,1,0.015384615384615385
ET money,2025-10-13,2540,2540,2540,2540,2540,409,0.1610236220472441,306,0.7481662591687042,0.1204724409448819,276,0.9019607843137255,233,0.8442028985507246,204,0.8755364806866953,192,0.9411764705882353,159,0.828125,159,1.0,126,0.7924528301886793,119,0.9444444444444444,118,0.9915966386554622,120,0.3888888888888889,0.38562091503267976,0.047244094488188976,73,0.6186440677966102,34,0.4657534246575342,37,36,0.014173228346456693,84,0.27450980392156865,15,0.1271186440677966,3,0.041666666666666664,3,0.041666666666666664
ET money,2025-10-06,3195,3195,3195,3195,3195,543,0.1699530516431925,393,0.7237569060773481,0.12300469483568074,348,0.8854961832061069,320,0.9195402298850575,275,0.859375,258,0.9381818181818182,221,0.8565891472868217,212,0.9592760180995475,174,0.8207547169811321,169,0.9712643678160919,166,0.9822485207100592,155,0.3893129770992366,0.4223918575063613,0.048513302034428794,103,0.6204819277108434,51,0.49514563106796117,57,54,0.016901408450704224,128,0.3256997455470738,21,0.12650602409638553,2,0.0196078431372549,2,0.0196078431372549
ET money,2025-09-29,13758,13758,13758,13758,13758,1908,0.13868294810292195,1302,0.6823899371069182,0.09463584823375491,1171,0.8993855606758833,995,0.8497011101622545,865,0.8693467336683417,798,0.922543352601156,673,0.843358395989975,648,0.962852897473997,510,0.7870370370370371,483,0.9470588235294117,474,0.9813664596273292,463,0.35407066052227343,0.3640552995391705,0.03365314725977613,259,0.5464135021097046,123,0.4749034749034749,122,126,0.009158307893589184,370,0.28417818740399386,49,0.10337552742616034,24,0.09302325581395349,14,0.05426356589147287
ET money,2025-09-22,22263,22263,22263,22263,22263,3184,0.1430175627723128,2097,0.6586055276381909,0.09419215739118718,1968,0.9384835479256081,1720,0.8739837398373984,1456,0.8465116279069768,1338,0.9189560439560439,1141,0.8527653213751868,1107,0.9702015775635408,870,0.7859078590785907,827,0.9505747126436782,809,0.9782345828295043,778,0.37052932761087265,0.38578922269909394,0.034945874320621656,439,0.5426452410383189,241,0.5489749430523918,186,180,0.008085163724565423,573,0.2732474964234621,59,0.07292954264524104,22,0.0502283105022831,14,0.0319634703196347
ET money,2025-09-15,12156,12156,12156,12156,12156,2678,0.22030273116156632,1780,0.6646751306945482,0.14642974662718,1644,0.9235955056179775,1531,0.931265206812652,1273,0.8314826910516002,1184,0.9300864100549883,992,0.8378378378378378,948,0.9556451612903226,780,0.8227848101265823,728,0.9333333333333333,717,0.9848901098901099,697,0.3904494382022472,0.4028089887640449,0.057337940111878906,412,0.5746164574616457,220,0.5339805825242718,135,134,0.011023362948338269,476,0.26741573033707866,48,0.06694560669456066,17,0.0413625304136253,10,0.024330900243309004
ET money,2025-09-08,777,777,777,777,777,213,0.27413127413127414,141,0.6619718309859155,0.18146718146718147,131,0.9290780141843972,138,1.0534351145038168,107,0.7753623188405797,96,0.897196261682243,80,0.8333333333333334,78,0.975,63,0.8076923076923077,60,0.9523809523809523,60,1.0,64,0.44680851063829785,0.425531914893617,0.08236808236808237,38,0.6333333333333333,23,0.6052631578947368,15,14,0.018018018018018018,32,0.22695035460992907,5,0.08333333333333333,2,0.05405405405405406,0,0.0
ET money,2025-09-01,7,7,7,7,7,3,0.42857142857142855,4,1.3333333333333333,0.5714285714285714,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,4,1.0,3,0.75,2,0.6666666666666666,3,1.5,3,0.5,0.75,0.42857142857142855,1,0.3333333333333333,0,0.0,0,2,0.2857142857142857,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-08-25,6,6,6,6,6,2,0.3333333333333333,2,1.0,0.3333333333333333,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5,2,2.0,2,0.5,1.0,0.3333333333333333,2,1.0,0,0.0,0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0
ET money,2025-08-18,5,5,5,5,5,1,0.2,1,1.0,0.2,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.2,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-08-11,3,3,3,3,3,1,0.3333333333333333,2,2.0,0.6666666666666666,2,1.0,1,0.5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,0.5,0.3333333333333333,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-08-04,6,6,6,6,6,1,0.16666666666666666,1,1.0,0.16666666666666666,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.16666666666666666,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-07-28,8,8,8,8,8,2,0.25,1,0.5,0.125,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.125,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-07-21,6,6,6,6,6,0,0.0,1,Infinity,0.16666666666666666,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.16666666666666666,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-07-14,7,7,7,7,7,1,0.14285714285714285,1,1.0,0.14285714285714285,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.14285714285714285,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-07-07,13,13,13,13,13,4,0.3076923076923077,3,0.75,0.23076923076923078,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,2,0.6666666666666666,1,0.5,2,2.0,2,0.3333333333333333,0.6666666666666666,0.15384615384615385,1,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-06-30,2,2,2,2,2,0,0.0,1,Infinity,0.5,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.5,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-06-23,6,6,6,6,6,2,0.3333333333333333,2,1.0,0.3333333333333333,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5,2,2.0,2,0.5,1.0,0.3333333333333333,2,1.0,1,0.5,0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0
ET money,2025-06-16,4,4,4,4,4,1,0.25,1,1.0,0.25,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.25,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-06-09,4,4,4,4,4,0,0.0,1,Infinity,0.25,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.25,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-06-02,3,3,3,3,3,0,0.0,1,Infinity,0.3333333333333333,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.3333333333333333,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-05-26,5,5,5,5,5,1,0.2,2,2.0,0.4,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,2,1.0,1,0.5,2,2.0,1,0.0,1.0,0.2,1,0.5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-05-19,11,11,11,11,11,0,0.0,1,Infinity,0.09090909090909091,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.09090909090909091,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-05-12,7,7,7,7,7,0,0.0,1,Infinity,0.14285714285714285,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.14285714285714285,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-05-05,4,4,4,4,4,0,0.0,1,Infinity,0.25,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.25,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-04-28,9,9,9,9,9,1,0.1111111111111111,1,1.0,0.1111111111111111,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.1111111111111111,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-04-21,5,5,5,5,5,1,0.2,1,1.0,0.2,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.2,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,Infinity,1,Infinity
ET money,2025-04-14,9,9,9,9,9,0,0.0,1,Infinity,0.1111111111111111,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.1111111111111111,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-04-07,7,7,7,7,7,0,0.0,1,Infinity,0.14285714285714285,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.14285714285714285,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-03-31,3,3,3,3,3,0,0.0,1,Infinity,0.3333333333333333,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,0,0.0,1,Infinity,1,0.0,1.0,0.3333333333333333,1,1.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,NaN,0,NaN
ET money,2025-03-24,6,6,6,6,6,2,0.3333333333333333,3,1.5,0.5,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,3,1.0,1,0.3333333333333333,2,2.0,2,0.3333333333333333,0.6666666666666666,0.3333333333333333,2,1.0,1,0.5,0,0,0.0,1,0.3333333333333333,0,0.0,0,0.0,0,0.0
