hour_start,new_cohort_control,new_cohort_treatment,new_visitors_control,new_visitors_treatment,fti_control,fti_treatment_total,fti_treatment_visited,fti_treatment_played_1p,fti_treatment_played_2p
2026-05-29 17:00:00,83,68,0,5,1,3,0,0,0
2026-05-29 18:00:00,52,71,0,6,3,3,0,0,0
2026-05-29 19:00:00,57,49,0,2,2,0,0,0,0
2026-05-29 20:00:00,57,61,0,4,1,1,0,0,0
2026-05-29 21:00:00,48,58,0,4,2,2,0,0,0
2026-05-29 22:00:00,57,36,0,3,3,0,0,0,0
2026-05-29 23:00:00,51,45,0,1,1,0,0,0,0
2026-05-30 00:00:00,25,33,0,3,2,1,0,0,0
2026-05-30 01:00:00,25,15,0,3,1,0,0,0,0
2026-05-30 02:00:00,16,6,0,1,0,0,0,0,0
2026-05-30 03:00:00,12,5,0,1,1,0,0,0,0
2026-05-30 04:00:00,9,10,0,0,0,0,0,0,0
2026-05-30 05:00:00,11,10,0,0,0,0,0,0,0
2026-05-30 06:00:00,27,23,0,2,0,1,0,0,0
2026-05-30 07:00:00,39,34,0,2,2,1,0,0,0
2026-05-30 08:00:00,56,50,0,6,0,0,0,0,0
2026-05-30 09:00:00,57,72,0,4,5,0,0,0,0
2026-05-30 10:00:00,88,83,0,6,0,2,0,0,0
2026-05-30 11:00:00,93,102,0,9,4,4,0,0,0
2026-05-30 12:00:00,84,83,0,9,5,4,0,0,0
2026-05-30 13:00:00,71,70,0,6,4,2,0,0,0
2026-05-30 14:00:00,57,69,0,9,2,4,1,1,1
2026-05-30 15:00:00,56,57,0,11,0,4,0,0,0
2026-05-30 16:00:00,63,51,0,5,2,2,0,0,0
2026-05-30 17:00:00,83,86,0,4,3,4,0,0,0
2026-05-30 18:00:00,53,48,0,7,3,2,0,0,0
2026-05-30 19:00:00,57,62,0,9,1,3,0,0,0
2026-05-30 20:00:00,66,43,0,3,1,2,0,0,0
2026-05-30 21:00:00,47,39,0,1,2,1,0,0,0
2026-05-30 22:00:00,48,58,0,7,1,1,0,0,0
2026-05-30 23:00:00,24,37,0,0,1,2,0,0,0
2026-05-31 00:00:00,24,34,0,4,1,1,0,0,0
2026-05-31 01:00:00,14,16,0,2,0,0,0,0,0
2026-05-31 02:00:00,8,9,0,0,0,0,0,0,0
2026-05-31 03:00:00,5,4,0,0,0,0,0,0,0
2026-05-31 04:00:00,9,11,0,2,0,0,0,0,0
2026-05-31 05:00:00,13,6,0,0,0,0,0,0,0
2026-05-31 06:00:00,15,27,0,0,0,0,0,0,0
2026-05-31 07:00:00,36,35,0,5,1,1,0,0,0
2026-05-31 08:00:00,32,41,0,2,0,0,0,0,0
2026-05-31 09:00:00,57,48,0,3,2,1,0,0,0
2026-05-31 10:00:00,82,92,0,7,1,3,1,1,1
2026-05-31 11:00:00,63,85,0,12,4,1,0,0,0
2026-05-31 12:00:00,57,67,0,9,3,2,0,0,0
2026-05-31 13:00:00,64,64,0,9,1,4,0,0,0
2026-05-31 14:00:00,39,43,0,8,0,5,3,0,0
2026-05-31 15:00:00,45,40,0,5,1,3,0,0,0
2026-05-31 16:00:00,67,59,0,8,2,1,0,0,0
2026-05-31 17:00:00,55,50,0,3,6,2,0,0,0
2026-05-31 18:00:00,43,30,0,3,2,0,0,0,0
2026-05-31 19:00:00,39,41,0,2,1,5,0,0,0
2026-05-31 20:00:00,43,48,0,6,2,1,0,0,0
2026-05-31 21:00:00,52,35,0,6,1,1,0,0,0
2026-05-31 22:00:00,54,44,0,5,3,1,0,0,0
2026-05-31 23:00:00,30,29,0,3,1,0,0,0,0
2026-06-01 00:00:00,28,34,0,6,0,2,0,0,0
2026-06-01 01:00:00,14,25,0,5,0,0,0,0,0
2026-06-01 02:00:00,14,8,0,1,0,2,0,0,0
2026-06-01 03:00:00,5,11,0,2,0,0,0,0,0
2026-06-01 04:00:00,10,2,0,0,0,0,0,0,0
2026-06-01 05:00:00,14,13,0,0,0,1,0,0,0
2026-06-01 06:00:00,20,22,0,2,0,0,0,0,0
2026-06-01 07:00:00,31,25,0,2,0,3,0,0,0
2026-06-01 08:00:00,56,56,0,4,2,0,0,0,0
2026-06-01 09:00:00,67,57,0,3,1,2,0,0,0
2026-06-01 10:00:00,80,74,0,10,0,4,0,0,0
2026-06-01 11:00:00,78,81,0,5,1,1,0,0,0
2026-06-01 12:00:00,81,65,0,8,2,4,0,0,0
2026-06-01 13:00:00,77,60,0,11,3,3,0,0,0
2026-06-01 14:00:00,55,63,0,7,3,1,0,0,0
2026-06-01 15:00:00,65,48,0,1,1,0,0,0,0
2026-06-01 16:00:00,85,72,0,9,2,3,0,0,0
2026-06-01 17:00:00,54,64,0,7,2,2,1,0,0
2026-06-01 18:00:00,60,54,0,6,1,1,0,0,0
2026-06-01 19:00:00,50,59,0,9,3,3,0,0,0
2026-06-01 20:00:00,58,39,0,5,6,2,1,1,1
2026-06-01 21:00:00,59,54,0,9,3,4,1,0,0
2026-06-01 22:00:00,56,49,0,3,2,0,0,0,0
2026-06-01 23:00:00,34,57,0,12,2,3,0,0,0
2026-06-02 00:00:00,29,31,0,4,0,1,0,0,0
2026-06-02 01:00:00,17,17,0,3,0,0,0,0,0
2026-06-02 02:00:00,12,9,0,1,0,0,0,0,0
2026-06-02 03:00:00,7,7,0,0,0,0,0,0,0
2026-06-02 04:00:00,6,12,0,3,0,0,0,0,0
2026-06-02 05:00:00,11,6,0,0,0,0,0,0,0
2026-06-02 06:00:00,17,16,0,0,1,0,0,0,0
2026-06-02 07:00:00,39,31,0,9,2,0,0,0,0
2026-06-02 08:00:00,46,46,0,7,1,3,0,0,0
2026-06-02 09:00:00,48,55,0,6,1,2,0,0,0
2026-06-02 10:00:00,46,54,0,5,1,1,0,0,0
2026-06-02 11:00:00,74,77,0,9,9,2,1,0,0
2026-06-02 12:00:00,67,72,0,7,4,8,2,0,0
2026-06-02 13:00:00,52,75,0,14,4,1,0,0,0
2026-06-02 14:00:00,66,47,0,10,7,1,0,0,0
2026-06-02 15:00:00,66,60,0,13,4,2,0,0,0
2026-06-02 16:00:00,84,72,0,11,1,3,2,1,1
2026-06-02 17:00:00,47,38,0,6,3,4,1,0,0
2026-06-02 18:00:00,43,43,0,5,1,2,0,0,0
2026-06-02 19:00:00,43,51,0,5,1,2,1,0,0
2026-06-02 20:00:00,61,47,0,11,0,3,0,0,0
2026-06-02 21:00:00,37,66,0,6,5,1,0,0,0
2026-06-02 22:00:00,32,50,0,7,3,4,1,0,0
2026-06-02 23:00:00,39,32,0,1,2,3,1,1,1
2026-06-03 00:00:00,28,34,0,4,1,0,0,0,0
2026-06-03 01:00:00,11,17,0,4,2,0,0,0,0
2026-06-03 02:00:00,7,9,0,2,0,0,0,0,0
2026-06-03 03:00:00,10,12,0,1,0,0,0,0,0
2026-06-03 04:00:00,5,7,0,0,0,0,0,0,0
2026-06-03 05:00:00,9,8,0,0,0,1,0,0,0
2026-06-03 06:00:00,14,22,0,5,0,0,0,0,0
2026-06-03 07:00:00,26,32,0,3,2,0,0,0,0
2026-06-03 08:00:00,44,35,0,3,0,1,0,0,0
2026-06-03 09:00:00,45,56,0,8,1,2,0,0,0
2026-06-03 10:00:00,52,74,0,9,4,1,0,0,0
2026-06-03 11:00:00,73,73,0,6,5,4,0,0,0
2026-06-03 12:00:00,62,76,0,9,1,3,1,0,0
2026-06-03 13:00:00,70,59,0,5,3,3,0,0,0
2026-06-03 14:00:00,51,45,0,5,0,4,1,0,0
2026-06-03 15:00:00,50,47,0,9,1,1,0,0,0
2026-06-03 16:00:00,56,63,0,10,4,2,0,0,0
2026-06-03 17:00:00,69,48,0,10,0,1,0,0,0
2026-06-03 18:00:00,62,64,0,9,1,1,0,0,0
2026-06-03 19:00:00,42,49,0,5,0,2,0,0,0
2026-06-03 20:00:00,53,36,0,1,4,4,1,0,0
2026-06-03 21:00:00,48,36,0,3,3,0,0,0,0
2026-06-03 22:00:00,29,46,0,7,3,3,0,0,0
2026-06-03 23:00:00,40,31,0,6,0,1,0,0,0
2026-06-04 00:00:00,19,24,0,4,1,1,0,0,0
2026-06-04 01:00:00,18,19,0,5,0,1,0,0,0
2026-06-04 02:00:00,18,13,0,2,1,0,0,0,0
2026-06-04 03:00:00,5,6,0,1,0,0,0,0,0
2026-06-04 04:00:00,7,6,0,0,1,0,0,0,0
2026-06-04 05:00:00,13,17,0,4,1,1,0,0,0
2026-06-04 06:00:00,27,18,0,4,1,0,0,0,0
2026-06-04 07:00:00,32,27,0,2,2,1,0,0,0
2026-06-04 08:00:00,38,39,0,6,0,0,0,0,0
2026-06-04 09:00:00,42,53,0,8,3,0,0,0,0
2026-06-04 10:00:00,71,65,0,8,2,4,3,0,0
2026-06-04 11:00:00,57,49,0,7,3,3,1,1,1
2026-06-04 12:00:00,53,48,0,3,4,1,0,0,0
2026-06-04 13:00:00,54,38,0,7,5,4,0,0,0
2026-06-04 14:00:00,48,42,0,4,2,1,0,0,0
2026-06-04 15:00:00,53,38,0,6,3,3,0,0,0
2026-06-04 16:00:00,50,45,0,5,1,1,0,0,0
2026-06-04 17:00:00,62,58,0,9,1,1,0,0,0
2026-06-04 18:00:00,39,51,0,8,0,2,1,1,0
2026-06-04 19:00:00,47,50,0,7,1,0,0,0,0
2026-06-04 20:00:00,37,35,0,4,2,2,0,0,0
2026-06-04 21:00:00,51,42,0,4,1,2,0,0,0
2026-06-04 22:00:00,49,38,0,6,3,3,0,0,0
2026-06-04 23:00:00,34,39,0,7,0,1,0,0,0
2026-06-05 00:00:00,30,20,0,2,0,1,0,0,0
2026-06-05 01:00:00,12,20,0,2,1,0,0,0,0
2026-06-05 02:00:00,6,10,0,3,0,0,0,0,0
2026-06-05 03:00:00,12,8,0,2,1,0,0,0,0
2026-06-05 04:00:00,5,5,0,0,0,0,0,0,0
2026-06-05 05:00:00,9,11,0,2,0,0,0,0,0
2026-06-05 06:00:00,20,13,0,0,0,0,0,0,0
2026-06-05 07:00:00,31,36,0,8,0,1,0,0,0
2026-06-05 08:00:00,41,38,0,4,1,0,0,0,0
2026-06-05 09:00:00,47,35,0,4,0,0,0,0,0
2026-06-05 10:00:00,49,45,0,6,1,3,0,0,0
2026-06-05 11:00:00,50,72,0,10,2,2,0,0,0
2026-06-05 12:00:00,64,50,0,8,3,3,0,0,0
2026-06-05 13:00:00,45,47,0,8,2,0,0,0,0
2026-06-05 14:00:00,49,45,0,4,6,0,0,0,0
2026-06-05 15:00:00,43,41,0,4,1,2,1,0,0
2026-06-05 16:00:00,53,50,0,5,1,1,0,0,0
2026-06-05 17:00:00,35,35,0,6,1,1,0,0,0
2026-06-05 18:00:00,44,50,0,9,1,2,0,0,0
2026-06-05 19:00:00,44,57,0,7,1,0,0,0,0
2026-06-05 20:00:00,45,40,0,11,0,0,0,0,0
2026-06-05 21:00:00,29,35,0,5,3,0,0,0,0
2026-06-05 22:00:00,28,31,0,5,2,1,0,0,0
2026-06-05 23:00:00,27,27,0,3,0,0,0,0,0
2026-06-06 00:00:00,22,25,0,3,1,0,0,0,0
2026-06-06 01:00:00,21,15,0,3,0,0,0,0,0
2026-06-06 02:00:00,12,14,0,3,0,0,0,0,0
2026-06-06 03:00:00,9,12,0,1,0,1,1,1,1
2026-06-06 04:00:00,8,3,0,0,0,0,0,0,0
2026-06-06 05:00:00,10,7,0,0,0,0,0,0,0
2026-06-06 06:00:00,20,21,0,1,0,1,0,0,0
2026-06-06 07:00:00,30,28,0,3,0,1,0,0,0
2026-06-06 08:00:00,44,42,0,0,1,2,0,0,0
2026-06-06 09:00:00,40,37,0,6,1,2,0,0,0
2026-06-06 10:00:00,60,61,0,7,1,1,0,0,0
2026-06-06 11:00:00,50,56,0,13,1,1,0,0,0
2026-06-06 12:00:00,62,49,0,8,1,3,1,0,0
2026-06-06 13:00:00,73,52,0,7,0,5,0,0,0
2026-06-06 14:00:00,51,38,0,5,3,0,0,0,0
2026-06-06 15:00:00,52,51,0,4,2,0,0,0,0
2026-06-06 16:00:00,48,46,0,6,3,0,0,0,0
2026-06-06 17:00:00,73,41,0,2,0,4,0,0,0
2026-06-06 18:00:00,28,38,0,3,1,2,0,0,0
2026-06-06 19:00:00,40,39,0,4,0,1,1,1,1
2026-06-06 20:00:00,29,36,0,3,0,1,0,0,0
2026-06-06 21:00:00,37,33,0,3,5,0,0,0,0
2026-06-06 22:00:00,64,73,0,7,1,1,0,0,0
2026-06-06 23:00:00,44,35,0,3,0,1,0,0,0
2026-06-07 00:00:00,30,37,0,6,0,0,0,0,0
2026-06-07 01:00:00,21,8,0,3,0,0,0,0,0
2026-06-07 02:00:00,14,10,0,2,0,0,0,0,0
2026-06-07 03:00:00,8,6,0,3,0,0,0,0,0
2026-06-07 04:00:00,7,6,0,0,0,0,0,0,0
2026-06-07 05:00:00,11,11,0,1,0,0,0,0,0
2026-06-07 06:00:00,9,13,0,2,0,0,0,0,0
2026-06-07 07:00:00,26,30,0,5,0,2,0,0,0
2026-06-07 08:00:00,29,25,0,0,1,0,0,0,0
2026-06-07 09:00:00,38,37,0,7,0,3,0,0,0
2026-06-07 10:00:00,37,44,0,5,0,2,0,0,0
2026-06-07 11:00:00,46,40,0,1,3,2,1,0,0
2026-06-07 12:00:00,70,48,0,3,3,0,0,0,0
2026-06-07 13:00:00,51,45,0,6,1,3,1,1,1
2026-06-07 14:00:00,44,36,0,5,6,3,1,0,0
2026-06-07 15:00:00,34,39,0,6,2,0,0,0,0
2026-06-07 16:00:00,57,35,0,5,4,2,0,0,0
2026-06-07 17:00:00,40,52,0,5,3,0,0,0,0
2026-06-07 18:00:00,32,41,0,8,1,1,0,0,0
2026-06-07 19:00:00,51,45,0,6,1,1,0,0,0
2026-06-07 20:00:00,45,41,0,2,5,1,1,0,0
2026-06-07 21:00:00,36,41,0,4,0,2,0,0,0
2026-06-07 22:00:00,53,62,0,7,3,1,0,0,0
2026-06-07 23:00:00,22,29,0,3,1,2,0,0,0
2026-06-08 00:00:00,21,21,0,2,0,0,0,0,0
2026-06-08 01:00:00,14,17,0,1,1,0,0,0,0
2026-06-08 02:00:00,17,13,0,3,0,0,0,0,0
2026-06-08 03:00:00,10,8,0,1,0,1,0,0,0
2026-06-08 04:00:00,7,5,0,0,0,0,0,0,0
2026-06-08 05:00:00,1,6,0,1,0,1,1,1,1
2026-06-08 06:00:00,20,12,0,3,0,1,0,0,0
2026-06-08 07:00:00,23,21,0,4,0,0,0,0,0
2026-06-08 08:00:00,34,33,0,5,3,2,0,0,0
2026-06-08 09:00:00,51,39,0,6,0,1,0,0,0
2026-06-08 10:00:00,52,58,0,5,0,4,0,0,0
2026-06-08 11:00:00,47,47,1,6,0,0,0,0,0
2026-06-08 12:00:00,53,54,0,5,3,1,0,0,0
2026-06-08 13:00:00,49,53,0,3,3,4,1,0,0
2026-06-08 14:00:00,47,37,0,2,1,3,0,0,0
2026-06-08 15:00:00,50,38,0,4,2,2,0,0,0
2026-06-08 16:00:00,44,39,0,8,0,1,0,0,0
2026-06-08 17:00:00,33,34,0,6,2,3,0,0,0
2026-06-08 18:00:00,30,30,0,4,4,2,2,1,0
2026-06-08 19:00:00,39,24,0,4,1,3,0,0,0
2026-06-08 20:00:00,35,28,0,2,1,0,0,0,0
2026-06-08 21:00:00,27,48,0,5,2,3,1,1,0
2026-06-08 22:00:00,43,39,0,6,3,2,0,0,0
2026-06-08 23:00:00,33,27,0,9,1,2,0,0,0
2026-06-09 00:00:00,23,25,0,10,0,1,0,0,0
2026-06-09 01:00:00,16,6,0,0,1,1,0,0,0
2026-06-09 02:00:00,16,7,0,0,0,0,0,0,0
2026-06-09 03:00:00,6,10,0,5,0,0,0,0,0
2026-06-09 04:00:00,6,5,0,0,0,1,0,0,0
2026-06-09 05:00:00,4,4,0,0,0,0,0,0,0
2026-06-09 06:00:00,19,7,0,3,0,1,0,0,0
2026-06-09 07:00:00,38,33,0,3,0,1,0,0,0
2026-06-09 08:00:00,40,39,0,6,1,0,0,0,0
2026-06-09 09:00:00,51,64,0,6,2,2,0,0,0
2026-06-09 10:00:00,61,49,0,3,1,4,2,1,0
2026-06-09 11:00:00,76,70,0,9,4,1,0,0,0
2026-06-09 12:00:00,73,68,0,11,5,4,1,0,0
2026-06-09 13:00:00,45,50,0,5,2,3,0,0,0
2026-06-09 14:00:00,63,51,0,7,1,2,1,0,0
2026-06-09 15:00:00,43,48,0,6,1,2,0,0,0
2026-06-09 16:00:00,46,59,0,9,1,6,1,0,0
2026-06-09 17:00:00,47,44,0,9,0,4,1,0,0
2026-06-09 18:00:00,49,41,0,6,2,1,0,0,0
2026-06-09 19:00:00,40,40,0,2,2,1,0,0,0
2026-06-09 20:00:00,40,32,0,4,0,3,1,0,0
2026-06-09 21:00:00,38,34,0,6,2,0,0,0,0
2026-06-09 22:00:00,38,36,0,7,3,2,1,0,0
2026-06-09 23:00:00,24,36,0,0,3,0,0,0,0
2026-06-10 00:00:00,28,11,0,1,0,1,0,0,0
2026-06-10 01:00:00,17,18,0,2,0,0,0,0,0
2026-06-10 02:00:00,6,6,0,3,2,1,0,0,0
2026-06-10 03:00:00,12,4,0,0,0,0,0,0,0
2026-06-10 04:00:00,3,4,0,0,1,0,0,0,0
2026-06-10 05:00:00,9,7,0,0,1,1,0,0,0
2026-06-10 06:00:00,22,21,0,2,1,1,1,1,0
2026-06-10 07:00:00,55,54,0,4,2,4,0,0,0
2026-06-10 08:00:00,59,54,0,4,1,4,0,0,0
2026-06-10 09:00:00,67,67,0,5,0,3,0,0,0
2026-06-10 10:00:00,70,52,0,7,1,2,0,0,0
2026-06-10 11:00:00,70,74,0,6,1,6,0,0,0
2026-06-10 12:00:00,59,57,0,5,4,1,0,0,0
2026-06-10 13:00:00,55,57,0,9,2,2,0,0,0
2026-06-10 14:00:00,43,53,0,4,2,1,0,0,0
2026-06-10 15:00:00,58,55,0,8,0,0,0,0,0
2026-06-10 16:00:00,45,48,0,6,3,2,0,0,0
2026-06-10 17:00:00,59,43,0,8,3,1,0,0,0
2026-06-10 18:00:00,49,44,0,5,2,1,0,0,0
2026-06-10 19:00:00,46,37,0,8,0,0,0,0,0
2026-06-10 20:00:00,47,40,0,8,1,2,0,0,0
2026-06-10 21:00:00,35,37,0,6,0,5,0,0,0
2026-06-10 22:00:00,32,39,0,3,1,0,0,0,0
2026-06-10 23:00:00,37,35,0,8,1,0,0,0,0
2026-06-11 00:00:00,17,28,0,6,0,0,0,0,0
2026-06-11 01:00:00,14,9,0,1,0,0,0,0,0
